Название;Категория;Калории (ккал);Белки (г);Жиры (г);Углеводы (г);Ссылка
"Австрийский штрудель «Штрудель и Ко» с вишней, 280 г";"Торты и пирожные";272;3.5;10;42;https://yarcheplus.ru/product/avstriyskiy-shtrudel-18241
"Торт «Mirel» Любимая сказка, 440 г";"Торты и пирожные";443;5.2;25.4;48.5;https://yarcheplus.ru/product/tort-14087
"Пирожное Безе, 50 г";"Торты и пирожные";360;6;;94;https://yarcheplus.ru/product/pirozhnoe-beze-4650
"Профитроли «VerSailles» с шоколадной начинкой, 160 г";"Торты и пирожные";333;7.8;19.2;33.2;https://yarcheplus.ru/product/profitroli-35920
"Торт Strike, 580 г";"Торты и пирожные";340;5;17;45;https://yarcheplus.ru/product/tort-32961
"Пирожное миндальное Macaron Клубника, 60 г";"Торты и пирожные";430;7;20;54;https://yarcheplus.ru/product/pirozhnoe-mindalnoe-32306
"Десерт «Тирамису», 130 г";"Торты и пирожные";260;6;12;32;https://yarcheplus.ru/product/desert-4495
"Десерт FUN BAN, 200 г";"Торты и пирожные";460;4;36;30;https://yarcheplus.ru/product/desert-24234
"Десерт Морковный, 130 г";"Торты и пирожные";310;4.5;13;36;https://yarcheplus.ru/product/desert-27583
"Пирожное «ZEBRA» Картошка, 80 г";"Торты и пирожные";420;8;24;42;https://yarcheplus.ru/product/pirozhnoe-4718
"Торт Медовый, 450 г";"Торты и пирожные";450;6;18;58;https://yarcheplus.ru/product/tort-4602
"Мармелад жевательный «Strike» Дринксы, 70 г";"Карамель, драже, мармелад";310;5;;72;https://yarcheplus.ru/product/marmelad-zhevatelniy-40625
"Драже «Strike» арахис в цветной глазури, 40 г";"Карамель, драже, мармелад";520;10;28;57;https://yarcheplus.ru/product/drazhe-40585
"Драже «Strike» молочный шоколад в цветной глазури, 40 г";"Карамель, драже, мармелад";490;4.5;22;68;https://yarcheplus.ru/product/drazhe-40586
"Драже «Strike» «Вафельный микс» банан/дыня, 40 г";"Карамель, драже, мармелад";550;6;34;56;https://yarcheplus.ru/product/drazhe-40584
"Драже «Tic Tac» Холодная Мята, 16 г";"Карамель, драже, мармелад";397;0.1;0.5;97.5;https://yarcheplus.ru/product/drazhe-40626
"Карамель леденцовая «Кремка» ассорти, 180 г";"Карамель, драже, мармелад";400;0.5;3;93;https://yarcheplus.ru/product/karamel-ledentsovaya-40562
"Карамель «Топ-Шлёп», 180 г";"Карамель, драже, мармелад";420;2.5;7.5;86;https://yarcheplus.ru/product/karamel-40563
"Жевательные конфеты «Mamba» Ягодная, 70 г";"Карамель, драже, мармелад";389;1.6;6;84.5;https://yarcheplus.ru/product/zhevatelnye-konfety-40476
"Жевательный мармелад «Orion» Jelly Boy Красный виноград, 66 г";"Карамель, драже, мармелад";320;3;0.2;76;https://yarcheplus.ru/product/zhevatelniy-marmelad-40606
"Жевательный мармелад «Orion» ТИНГЛЗ Апельсин, 50 г";"Карамель, драже, мармелад";260;3;;71;https://yarcheplus.ru/product/zhevatelniy-marmelad-40608
"Жевательный мармелад «Orion» Jelly Boy Киви, 66 г";"Карамель, драже, мармелад";310;3;0.2;74;https://yarcheplus.ru/product/zhevatelniy-marmelad-40607
"Конфеты «IMPULSE» Имбирь бодрящий, 12 г";"Карамель, драже, мармелад";24;1;1;2.5;https://yarcheplus.ru/product/konfety-40380
"Конфеты «IMPULSE» Бодрящий черный кофе, 12 г";"Карамель, драже, мармелад";23;1;1;1.5;https://yarcheplus.ru/product/konfety-40379
"Конфеты «IMPULSE» Освежающая мята, 12 г";"Карамель, драже, мармелад";24;;1;1.5;https://yarcheplus.ru/product/konfety-40378
"Конфеты «IMPULSE» Освежающий мохито, 12 г";"Карамель, драже, мармелад";240;;1;3;https://yarcheplus.ru/product/konfety-40377
"Конфеты «IMPULSE» Освежающий мандарин, 12 г";"Карамель, драже, мармелад";24;;1.5;3.5;https://yarcheplus.ru/product/konfety-40376
"Конфеты «IMPULSE» Освежающее яблоко, 12 г";"Карамель, драже, мармелад";24;;1;3.5;https://yarcheplus.ru/product/konfety-40374
"Аскорбинка «VITAFRUIT» Апельсин, 30 г";"Карамель, драже, мармелад";380;;;95;https://yarcheplus.ru/product/askorbinka-40381
"Аскорбинка «VITAFRUIT» Клубника, 30 г";"Карамель, драже, мармелад";380;;;95;https://yarcheplus.ru/product/askorbinka-40382
"Драже «Strike» вафля в молочно-шоколадной глазури, 40 г";"Карамель, драже, мармелад";530;5.5;32;56;https://yarcheplus.ru/product/drazhe-40055
"Освежающие леденцы «Yo-моё» со вкусом арбуза, 12 г";"Карамель, драже, мармелад";400;;0.5;93;https://yarcheplus.ru/product/osvezhayuschie-ledentsy-40151
"Освежающие леденцы «Yo-моё» со вкусом винограда, 12 г";"Карамель, драже, мармелад";400;;0.5;93;https://yarcheplus.ru/product/osvezhayuschie-ledentsy-40150
"Освежающие леденцы «Yo-моё» со вкусом лимона, 16 г";"Карамель, драже, мармелад";400;;0.5;93;https://yarcheplus.ru/product/osvezhayuschie-ledentsy-40148
